id	activityId	materialId	dumplingId	status	groupTitleNew	groupTitleNew_zh_TW	groupTitleNew_en_UK	groupTitleNew_ja_JP	groupTitleNew_ko_KR	groupTitleNew_th_TH	groupTitleOld	groupTitleOld_zh_TW	groupTitleOld_en_UK	groupTitleOld_ja_JP	groupTitleOld_ko_KR	groupTitleOld_th_TH	groupTitleFail	groupTitleFail_zh_TW	groupTitleFail_en_UK	groupTitleFail_ja_JP	groupTitleFail_ko_KR	groupTitleFail_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1;2;3	1	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
2	1	1;2;4	0	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ	这个搭配吸引不了合唱团子，换一种试试吧。	這個搭配吸引不了合唱團子，換一種試試吧。	This won't attract new Singing Dangos. Try a different one!	変な味になっちゃう！違う組み合わせを試してみよう！	이 조합으로 합창 경단을 유인할 수 없을 것 같네요. 다른 조합을 시도해 보세요	การจับคู่นี้ ดูจะดึงดูดดังโกะประสานเสียงไม่ได้ ลองเปลี่ยนเป็นแบบอื่นสิ
3	1	1;2;5	2	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
4	1	1;3;4	3	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
5	1	1;3;5	4	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
6	1	1;4;5	0	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ	这个搭配吸引不了合唱团子，换一种试试吧。	這個搭配吸引不了合唱團子，換一種試試吧。	This won't attract new Singing Dangos. Try a different one!	変な味になっちゃう！違う組み合わせを試してみよう！	이 조합으로 합창 경단을 유인할 수 없을 것 같네요. 다른 조합을 시도해 보세요	การจับคู่นี้ ดูจะดึงดูดดังโกะประสานเสียงไม่ได้ ลองเปลี่ยนเป็นแบบอื่นสิ
7	1	2;3;4	5	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
8	1	2;3;5	6	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
9	1	2;4;5	7	1	新的搭配！好像能吸引来新的合唱团子	新的搭配！好像能吸引來新的合唱團子	A new combination! This should attract new Singing Dangos.	斬新な組み合わせ！新しい合唱団子を引き寄せるかも！	새로운 조합이네요! 더 많은 합창 경단을 유인할 수 있을 것 같아요	การจับคู่รูปแบบใหม่! ดูจะดึงดูดดังโกะประสานเสียงที่มาใหม่ได้นะ	重复的搭配，再试试别的组合吧。	重複的搭配，再試試別的組合吧。	Repeated combination. Try a different one!	違う味の組み合わせを試してみよう！	중복된 조합이예요. 다른 조합을 시도해 보세요	การจับคู่ซ้ำกัน ลองเปลี่ยนเป็นกรุ๊ปแบบอื่นดูสิ						
